ID	Name	Photo	boss	Lvl	Exp	Hp	Mp	DCMin	DCMax	MCMin	MCMax	AC	MAC	Hit	intervel
100001	鸡	1	0	5	5	5	10	1	1	0	0	0	0	3	3000
100002	鹿	2	0	12	15	25	10	2	4	0	0	0	0	4	3000
100003	羊	3	0	13	20	20	10	1	3	0	0	0	0	7	3000
100004	稻草人	4	0	10	22	25	10	1	2	0	0	0	0	5	2500
100005	多钩猫	5	0	13	17	30	10	4	6	0	0	0	0	5	2500
100006	钉钯猫	6	0	13	18	32	10	4	6	0	0	0	0	5	2500
100007	蛤蟆	7	0	12	15	20	10	0	0	3	7	0	0	6	2500
100008	食人花	8	0	20	28	28	10	6	9	0	0	2	0	9	2500
100009	森林雪人	9	0	16	30	36	10	7	9	0	0	2	0	6	2500
100010	半兽人	10	0	15	25	30	10	4	9	0	0	2	0	7	2500
100011	半兽战士	11	0	22	90	100	10	5	12	0	0	3	1	9	2000
100012	半兽勇士	12	1	28	300	300	10	10	16	0	0	10	0	10	1500
100013	山洞蝙蝠	13	0	20	25	25	10	4	6	0	0	2	0	10	2500
100014	蝎子	14	0	18	45	45	10	0	0	7	13	2	0	9	2500
100015	洞蛆	15	0	21	60	65	10	0	0	8	11	0	0	10	2500
100016	骷髅	16	0	18	85	90	10	8	13	0	0	0	0	8	2500
100017	掷斧骷髅	17	0	18	90	100	10	0	0	6	14	0	0	9	2500
100018	骷髅战士	18	0	19	95	105	10	8	15	0	0	0	0	9	2500
100019	骷髅战将	19	0	20	100	110	10	9	16	0	0	2	1	9	2300
100020	骷髅精灵	20	1	30	750	500	10	0	0	7	24	5	4	12	2000
100021	爬地僵尸	21	0	25	160	155	10	15	23	0	0	0	0	11	3000
100022	行走僵尸 	22	0	25	160	155	10	16	22	0	0	2	1	11	3000
100023	残废僵尸	23	0	25	160	155	10	14	22	0	0	2	1	11	3000
100024	黄袍僵尸 	24	0	25	160	155	10	0	0	14	22	2	1	11	3000
100025	电僵尸 	25	0	25	160	155	10	0	0	14	22	2	1	11	3000
100026	尸王	26	1	33	1000	700	10	18	36	0	0	3	3	15	2800
100027	粪虫	27	0	26	180	155	10	0	0	17	22	3	2	11	2500
100028	暗黑战士	28	0	26	200	165	10	23	30	0	0	3	2	13	2500
100029	沃玛战士	29	0	30	260	265	10	18	32	0	0	3	2	12	2000
100030	沃玛勇士	30	0	30	280	285	10	20	32	0	0	3	2	12	2000
100031	沃玛战将	31	0	30	280	285	10	19	33	0	0	3	2	12	2000
100032	火焰沃玛	32	0	31	290	340	10	0	0	18	30	0	0	13	1700
100033	沃玛卫士	33	1	32	1200	1000	10	22	42	0	0	8	8	17	1500
100034	沃玛教主	34	1	38	2500	2200	10	0	0	35	60	17	17	20	1500
100035	毒蜘蛛	35	0	16	42	42	10	0	0	6	9	2	1	5	2500
100036	红蛇	36	0	17	50	50	10	7	12	0	0	0	2	11	2500
100037	虎蛇	37	0	18	53	53	10	10	11	0	0	0	2	11	2500
100038	猎鹰	38	0	16	38	38	10	7	10	0	0	0	0	13	2500
100039	多角虫	39	0	16	32	52	10	7	8	0	0	0	0	10	2500
100040	巨型多角虫	40	1	27	200	250	10	7	15	0	0	7	2	12	2500
100041	神鹰	38	1	30	300	500	10	0	0	15	30	10	10	17	1500
100042	蜈蚣	41	0	26	230	230	10	0	0	16	21	0	5	12	2000
100043	巨型蠕虫	42	0	26	230	200	10	0	0	19	22	3	3	12	2000
100044	跳跳蜂	43	0	26	210	200	10	16	22	0	0	3	3	12	2000
100045	钳虫	44	0	31	250	270	10	19	29	0	0	5	7	13	1800
100046	黑色恶蛆	45	0	28	180	230	10	14	18	0	0	5	0	12	1500
100047	楔蛾	46	0	32	350	220	10	0	0	27	32	0	5	12	2500
100048	红野猪	47	0	32	320	330	10	0	0	22	29	0	8	13	2000
100049	黑野猪	48	0	35	380	310	10	24	30	0	0	10	0	13	2000
100050	蝎蛇	49	0	35	360	330	10	26	32	0	0	5	3	13	2000
100051	角蝇	50	0	35	300	300	10	0	0	24	29	5	5	18	2500
100052	大老鼠	51	0	36	330	385	10	0	0	27	30	3	5	12	2500
100053	祖玛弓箭手	52	0	40	420	385	10	0	0	28	33	10	10	13	2000
100054	祖玛弓箭手3	52	0	40	600	800	10	0	0	31	40	15	15	17	1600
100055	祖玛雕像	53	0	42	450	495	10	25	37	0	0	12	12	13	2000
100056	祖玛雕像3	53	0	42	800	900	10	30	41	0	0	18	18	17	1800
100057	祖玛卫士	54	0	43	480	495	10	27	39	0	0	15	15	13	2000
100058	祖玛卫士3	54	0	46	1000	1000	10	33	45	0	0	20	20	17	1500
100059	邪恶钳虫	55	1	34	1400	1000	10	22	45	0	0	20	10	17	1800
100060	触龙神	56	1	37	3000	2000	10	0	0	20	35	5	2000	15	2000
100061	邪恶毒蛇	57	1	39	1200	1100	10	0	0	30	65	20	30	17	1800
100062	白野猪	58	1	39	1600	1000	10	30	65	0	0	15	15	17	1800
100063	石墓尸王	24	1	43	3000	3000	10	0	0	30	40	10	10	15	1500
100064	祖玛教主	59	1	46	1000	1500	10	0	0	40	65	20	20	30	1000
100065	月魔蜘蛛	60	0	45	500	800	10	0	0	40	80	15	30	17	1500
100066	暴牙蜘蛛	61	0	50	450	500	10	47	75	0	0	5	5	17	1600
100067	钢牙蜘蛛	62	0	53	550	800	10	37	65	0	0	10	20	17	1700
100068	天狼蜘蛛	63	0	40	480	500	10	0	0	57	75	9	19	17	1800
100069	黑锷蜘蛛	64	0	53	550	800	10	45	77	0	0	10	20	17	2000
100070	幻影蜘蛛	65	0	53	350	300	10	0	0	55	78	9	10	1	2500
100071	花吻蜘蛛	64	0	54	550	800	10	41	73	0	0	8	11	17	1800
100072	邪恶巨人	66	0	56	1000	2000	10	56	79	0	0	14	16	18	1500
100073	血僵尸	66	0	55	550	1200	10	0	0	56	72	10	12	17	2000
100074	双头血魔	67	1	50	1300	3000	10	0	0	50	75	20	20	18	1500
100075	双头金刚	68	1	50	1300	3000	10	50	75	0	0	20	20	18	1500
100076	赤月恶魔	69	1	55	2000	5000	10	0	0	65	90	18	18	25	1600
100077	恶灵僵尸	70	0	35	190	180	10	15	25	0	0	3	3	18	2000
100078	恶灵尸王	71	0	35	500	500	10	0	0	20	38	3	5	18	2000
100079	黄泉教主	72	1	58	3000	5000	10	45	70	0	0	20	24	18	2000
100080	骷髅长枪兵	73	0	35	380	390	10	20	42	0	0	3	6	18	2000
100081	骷髅锤兵	74	0	35	450	390	10	20	42	0	0	3	5	18	2000
100082	骷髅刀斧手	75	0	35	420	440	10	22	45	0	0	5	5	18	2000
100083	骷髅弓箭手	76	0	35	530	550	10	0	0	28	35	20	10	30	1500
100084	恶灵教主	72	1	58	3000	5000	10	45	70	0	0	20	24	18	2000
100085	牛头魔	77	0	30	360	330	10	0	0	25	35	5	5	18	2000
100086	牛魔斗士	78	0	45	480	460	10	25	45	0	0	8	10	18	2000
100087	牛魔战士	79	0	45	400	420	10	20	45	0	0	8	7	18	2000
100088	牛魔侍卫	80	0	45	580	500	10	22	45	0	0	10	10	18	2000
100089	牛魔将军	81	0	45	780	750	10	30	50	0	0	12	15	18	2000
100090	牛魔法师	82	0	45	440	360	10	0	0	29	43	9	12	18	2000
100091	牛魔祭司	83	0	45	750	750	10	0	0	40	55	10	13	18	2000
100092	宝箱	84	0	16	25	300	10	0	0	35	50	0	0	8	2500
100093	牛魔王	85	1	60	3500	5000	10	50	80	0	0	20	24	18	2000
100094	虹魔蝎卫	86	1	55	2000	2000	10	0	0	28	28	26	13	25	1500
100095	虹魔猪卫	87	1	55	2000	1500	10	15	36	0	0	15	10	18	1500
100096	虹魔教主	88	1	66	3000	5000	10	50	70	0	0	15	20	50	1700
100097	千年树妖	89	1	60	2000	2200	10	0	0	25	50	20	20	35	2000
100098	万年树妖	89	1	70	5000	5000	10	0	0	50	70	10	30	35	2000
100099	变异骷髅	90	0	99	250	500	10	25	36	0	0	15	15	16	1200
100100	月灵	91	0	99	100	740	10	0	0	20	50	8	10	18	1500
100101	神兽	92	0	99	100	800	10	0	0	35	50	15	15	20	1200
100102	暗之双头血魔	67	1	60	1500	3000	10	0	0	50	75	20	20	20	1800
100103	暗之骷髅精灵	20	1	50	1500	3000	10	0	0	42	70	12	14	20	1800
100104	暗之双头金刚	68	1	50	1500	3000	10	50	75	0	0	20	20	20	1800
100105	暗之沃玛教主	71	1	60	1500	3000	10	0	0	40	65	17	17	20	1800
100106	暗之黄泉教主	72	1	60	1500	3000	10	45	70	0	0	20	24	20	1800
100107	暗之虹魔教主	88	1	66	1500	3000	10	50	70	0	0	15	20	20	1400
100108	重装使者	71	1	70	3000	5000	10	0	0	45	80	30	30	20	1500
100109	魔龙邪眼	93	0	50	700	1000	10	0	0	51	85	12	12	15	2000
100110	魔龙血蛙	94	0	50	720	1000	10	0	0	56	102	12	12	15	2000
100111	魔龙刺蛙	95	0	50	735	1000	10	0	0	68	111	12	12	15	2000
100112	魔龙刀兵	96	0	52	810	1200	10	68	105	0	0	12	12	15	2000
100113	魔龙破甲兵	97	0	55	820	1200	10	68	110	0	0	12	12	15	2000
100114	魔龙射手	98	0	53	800	1000	10	0	0	85	113	12	12	15	2000
100115	魔龙巨蛾	99	1	75	1800	3000	10	0	0	81	116	25	25	15	2000
100116	魔龙力士	100	1	75	1900	3000	10	81	121	0	0	25	25	15	2000
100117	魔龙战将	101	1	80	2000	3200	10	86	116	0	0	25	25	15	2000
100118	魔龙教主	102	1	90	4000	4500	10	0	0	96	136	35	40	15	1600
100119	魔龙树妖	89	1	85	3500	4000	10	0	0	96	126	50	80	35	2000
100120	黑牙蜘蛛	103	0	69	1380	1725	10	0	0	86	127	40	49	22	2000
100121	巨镰蜘蛛	104	0	65	1300	1625	10	81	120	0	0	46	38	24	2000
100122	金杖蜘蛛	105	0	74	1480	1850	10	0	0	87	126	43	52	24	2000
100123	剧毒蜘蛛	106	0	73	1460	1825	10	0	0	86	125	42	52	20	2000
100124	蓝背蜘蛛	107	0	72	1440	1800	10	0	0	85	123	42	51	20	2000
100125	绿魔蜘蛛	108	0	65	1300	1625	10	0	0	76	110	38	46	20	2000
100126	狂热火蜥蜴	109	0	70	1400	1750	10	82	119	0	0	50	41	20	2000
100127	圣殿黄龙	110	0	69	1380	1725	10	81	117	0	0	115	40	20	2000
100128	圣殿卫士	111	0	69	1380	1725	10	81	117	0	0	49	40	20	2000
100129	铁翼巨蛾	112	0	74	1480	1850	10	0	0	87	126	43	52	20	2000
100130	雷炎蛛王	113	1	92	5000	5500	10	0	0	130	165	60	75	35	1800
100131	红蛇王	71	0	65	800	1500	10	115	135	0	0	15	15	35	2000
100132	虎蛇王	72	0	65	800	1500	10	110	130	0	0	15	15	35	2000
100133	蜈蚣王	75	0	65	850	1300	10	0	0	90	143	15	25	60	2000
100134	蝎子王	56	0	65	600	800	10	0	0	110	130	45	10	30	2100
100135	雪蚕王	57	0	65	620	1800	10	110	128	0	0	15	35	38	2300
100136	蛤蟆王	52	0	65	750	2300	10	90	140	0	0	20	25	70	1900
100137	电僵王	65	0	65	700	3000	10	0	0	80	145	10	15	50	2000
100138	楔蛾王	83	0	65	760	3000	10	0	0	85	150	10	20	50	2000
100139	骷髅统领	20	1	97	6000	7500	10	150	185	0	0	75	50	20	1400
100140	白虎(伪)	114	0	76	1520	2432	10	106	159	0	0	54	44	20	2000
100141	虎虫	52	0	76	1520	2432	10	106	159	0	0	54	44	20	2000
100142	赤狐	115	0	78	1560	2496	10	0	0	109	163	45	55	20	2000
100143	素狐	116	0	76	1520	2432	10	0	0	106	159	44	54	20	2000
100144	黑狐	117	0	79	1580	2528	10	110	165	0	0	56	46	20	2000
100145	金爪赤狐王	115	0	84	1680	2688	10	0	0	117	176	49	60	20	1750
