ID	Name	Photo	Lvl	Exp	Hp	Mp	DCMin	DCMax	MCMin	MCMax	AC	MAC	Hit	intervel
10001	鸡	10001	5	5	5	10	1 	1 	0 	0 	0 	0 	3 	3000
10002	鹿	10002	12	15	25	10	2 	4 	0 	0 	0 	0 	4 	3000
10003	羊	10003	13	20	20	10	1	3	0	0 	0	0	7	3000
10004	稻草人	10004	10	22	25	10	1	2	0	0 	0	0	5	2500
10005	多钩猫	10005	13	17	30	10	2	4	0	0 	0	0	5	2500
10006	钉钯猫	10006	13	18	32	10	2	4	0	0 	0	0	5	2500
10007	蛤蟆	10007	12	15	20	10	0	5	0	0 	0	0	6	2500
10008	食人花	10008	20	28	28	10	0	0 	6	9	2	0	9	2500
10009	森林雪人	10009	16	30	36	10	0	0 	7	10	2	0	6	2500
10010	半兽人	10010	15	25	30	10	4	9	0	0 	1	0	6	2500
10011	半兽战士	10011	22	90	100	10	5	12	0	0 	3	1	9	2000
10012	山洞蝙蝠	10012	20	25	25	10	4	6	0	0 	2	0	10	2500
10013	蝎子	10013	18	45	45	10	0	0 	7	16	2	0	9	2500
10014	洞蛆	10014	21	60	65	10	0	0 	6	8	0	0	10	2500
10015	骷髅	10015	18	85	90	10	7	10	0	0 	0	0	8	2500
10016	掷斧骷髅	10016	18	90	100	10	0	0 	4	9	0	0	9	2500
10017	骷髅战士	10017	19	95	105	10	2	15	0	0 	0	0	9	2500
10018	骷髅战将	10018	20	100	110	10	7	13	0	0 	2	1	9	2300
10019	爬地僵尸	10019	25	160	155	10	12	16	0	0 	0	0	11	3000
10020	行走僵尸 	10020	25	160	155	10	8	17	0	0 	2	1	11	3000
10021	残废僵尸	10021	25	160	155	10	6	17	0	0 	2	1	11	3000
10022	黄袍僵尸 	10022	25	160	155	10	0	0 	6	17	2	1	11	3000
10023	电僵尸 	10023	25	160	155	10	0	0 	6	17	2	1	11	3000
10024	粪虫	10024	26	180	155	10	0	0 	9	17	3	2	11	2500
10025	暗黑战士	10025	26	200	165	10	9	16	0	0 	3	2	13	2500
10026	沃玛战士	10026	30	260	265	10	14	28	0	0 	3	2	12	2000
10027	沃玛勇士	10027	30	280	285	10	16	28	0	0 	3	2	12	2000
10028	沃玛战将	10028	30	280	285	10	15	29	0	0 	3	2	12	2000
10029	火焰沃玛	10029	31	290	340	10	0	0 	14	26	0	0	13	1700
10030	毒蜘蛛	10030	16	42	42	10	0	0 	6	9	2	1	5	2500
10031	红蛇	10031	17	50	50	10	7	12	0	0 	0	2	11	2500
10032	虎蛇	10032	18	53	53	10	10	11	0	0 	0	2	11	2500
10033	猎鹰	10033	16	38	38	10	7	10	0	0 	0	0	13	2500
10034	多角虫	10034	16	32	52	10	7	8	0	0 	0	0	10	2500
10035	蜈蚣	10035	26	230	230	10	0	0 	12	17	0	5	12	2000
10036	巨型蠕虫	10036	26	230	200	10	0	0 	15	18	3	3	12	2000
10037	跳跳蜂	10037	26	210	200	10	12	18	0	0 	3	3	12	2000
10038	黑色恶蛆	10038	28	180	230	10	10	14	0	0 	5	0	12	1500
10039	钳虫	10039	31	250	270	10	15	25	0	0 	5	7	13	1800
10040	红野猪	10040	32	320	330	10	0	0 	18	25	0	8	13	2000
10041	黑野猪	10041	35	380	310	10	20	26	0	0 	10	0	13	2000
10042	蝎蛇	10042	35	360	330	10	22	28	0	0 	5	3	13	2000
10043	角蝇	10043	35	300	300	10	0	0 	20	25	5	5	18	2500
10044	楔蛾	10044	32	350	220	10	0	0 	26	36	0	5	12	2500
10045	大老鼠	10045	24	330	385	10	0	0 	24	46	3	5	12	2500
10046	祖玛弓箭手	10046	40	420	385	10	0	0 	12	18	10	10	13	2000
10047	祖玛弓箭手3	10046	40	600	800	10	0	0 	24	36	15	15	17	1600
10048	祖玛雕像	10048	42	450	495	10	20	32	0	0 	12	12	13	2000
10049	祖玛雕像3	10048	42	800	900	10	40	64	0	0 	18	18	17	1800
10050	祖玛卫士	10050	43	480	495	10	22	34	0	0 	15	15	13	2000
10051	祖玛卫士3	10050	46	1000	1000	10	44	68	0	0 	20	20	17	1500
10052	月魔蜘蛛	10052	45	500	800	10	0	0 	54	108	10	25	17	1600
10053	暴牙蜘蛛	10053	50	450	500	10	44	68	0	0 	5	5	17	1600
10054	钢牙蜘蛛	10054	53	550	800	10	70	100	0	0 	10	20	17	1700
10055	天狼蜘蛛	10055	40	480	500	10	0	0 	44	68	9	19	17	1800
10056	黑锷蜘蛛	10056	53	550	800	10	30	150	0	0 	10	20	17	2000
10057	幻影蜘蛛	10057	53	350	300	10	0	0	80	110 	9	10	1	2500
10058	花吻蜘蛛	10056	54	550	800	10	40	120	0	0 	8	11	17	1800
10059	邪恶巨人	10059	56	1000	2000	10	70	100	0	0 	14	16	18	1500
10060	血僵尸	10059	55	550	1200	10	0	0 	70	100	10	12	17	2000
10061	恶灵僵尸	10061	35	190	180	10	20	40	0	0 	3	3	18	2000
10062	恶灵尸王	10062	35	500	500	10	0	0 	34	90	3	5	18	2000
10063	骷髅长枪兵	10063	35	380	390	10	40	80	0	0 	3	6	18	2000
10064	骷髅锤兵	10064	35	450	390	10	48	70	0	0 	3	5	18	2000
10065	骷髅刀斧手	10065	35	420	440	10	48	62	0	0 	5	5	18	2000
10066	骷髅弓箭手	10066	35	530	550	10	0	0 	24	56	20	10	30	1500
10067	牛头魔	10067	30	360	330	10	30	50	0	0 	5	5	18	2000
10068	牛魔斗士	10068	45	480	460	10	40	76	0	0 	8	10	18	2000
10069	牛魔战士	10069	45	400	420	10	30	60	0	0 	8	7	18	2000
10070	牛魔侍卫	10070	45	580	500	10	52	88	0	0 	10	10	18	2000
10071	牛魔将军	10071	45	780	750	10	64	100	0	0 	12	15	18	2000
10072	牛魔法师	10072	45	440	360	10	0 	0 	28	56	9	12	18	2000
10073	牛魔祭司	10073	45	750	750	10	0 	0 	50	84	10	13	18	2000
10074	宝箱	10074	16	25	300	10	0 	0 	30	110	0	0	8	2500
10075	魔龙邪眼	10075	60	1000	1000	10	0 	0 	30	50	12	12	15	2000
10076	魔龙血蛙	10076	60	1000	1000	10	0 	0 	33	65	12	12	15	2000
10077	魔龙刺蛙	10077	60	1200	1000	10	0 	0 	40	65	12	12	15	2000
10078	魔龙刀兵	10078	60	1300	1200	10	80	124	0	0 	12	12	15	2000
10079	魔龙破甲兵	10079	60	1500	1200	10	80	130	0	0 	12	12	15	2000
10080	魔龙射手	10080	60	1600	1000	10	0 	0 	50	65	12	12	15	2000
10081	变异骷髅	10081	44	250	500	10	50 	72 	0 	0 	15 	15 	16 	1200
10082	蜜蜂	10082	99	100	100	10	0	0	45	81	8	10	18	1500
10083	神兽	10083	46	100	160	10	0 	0 	57 	90 	15 	15 	20 	1200
10084	红蛇王	10031	50	2500	1500	10	60	60	0	0	15	15	35	2000
10085	虎蛇王	10032	50	2500	1500	10	60	60	0	0	15	15	35	2000
10086	蜈蚣王	10035	50	3000	1300	10	0	0	40	80	15	25	60	2000
10087	蝎子王	10013	50	1500	800	10	0	0	25	50	45	10	30	2100
10088	雪蚕王	10014	50	3200	1800	10	40	40	0	0	15	15	38	2300
10089	蛤蟆王	10007	50	4000	2300	10	50	120	0	0	20	25	70	1900
10090	电僵王	10023	50	4500	3000	10	0	0	20	140	10	15	50	2000
10091	楔蛾王	10044	50	5000	3000	10	0	0	30	80	10	20	50	2000
10092	黑牙蜘蛛	10092	64	2560	2048	10	0	0	70	110	32	32	22	2000
10093	巨镰蜘蛛	10093	60	2400	1920	10	96	132	96	132	30	30	24	2000
10094	金杖蜘蛛	10094	69	2760	2208	10	0	0	110	151	34	34	24	2000
10095	剧毒蜘蛛	10095	68	2720	2176	10	0	0	108	149	34	34	20	2000
10096	蓝背蜘蛛	10096	67	2680	2144	10	0	0	107	147	33	33	20	2000
10097	绿魔蜘蛛	10097	60	2400	1920	10	0	0	96	132	30	30	20	2000
10098	狂热火蜥蜴	10098	65	2600	2080	10	104	143	0	0	32	32	20	2000
10099	圣殿黄龙	10099	64	2560	2048	10	102	140	0	0	32	32	20	2000
10100	圣殿卫士	10100	64	2560	2048	10	102	140	0	0	32	32	20	2000
10101	铁翼巨蛾	10101	69	2760	2208	10	0	0	110	151	34	34	20	2000
10102	白虎	10102	71	2840	2272	10	113	156	0	0	35	35	20	2000
10103	虎虫	10098	71	2840	2272	10	113	156	0	0	35	35	20	2000
10104	赤狐	10104	73	2920	2336	10	0	0	116	160	36	36	20	2000
10105	素狐	10105	71	2840	2272	10	0	0	113	156	35	35	20	2000
10106	黑狐	10106	74	2960	2368	10	118	162	0	0	37	37	20	2000
10107	金爪赤狐王	10104	79	3160	2528	10	0	0	126	173	39	39	20	2000
10108	玉面素狐王	10105	78	3120	2496	10	0	0	124	171	39	39	20	2000
10109	火尾黑狐王	10106	78	3120	2496	10	124	171	0	0	39	39	20	2000
10110	狐月之眼	10110	75	3000	2400	10	0	0	120	165	37	37	20	2000
10111	狐月魔眼	10111	71	2840	2272	10	0	0	113	156	35	35	20	2000
10112	狐月弓箭手	10112	73	2920	2336	10	116	160	0	0	36	36	20	2000
10113	九尾魂石	10113	76	3040	2432	10	0	0	121	167	38	38	20	2000
10114	雪域冰甲虫	10114	89	3560	2848	10	142	195	142	195	44	44	20	2000
10115	雪域野人	10115	85	3400	2720	10	136	187	136	187	42	42	20	2000
10116	雪域毛人	10116	87	3480	2784	10	139	191	139	191	43	43	20	2000
10117	雪域冰狼	10117	81	3240	2592	10	129	178	129	178	40	40	20	2000
10118	雪域羊人	10118	89	3560	2848	10	142	195	142	195	44	44	20	2000
