id	image	offset_x	offset_y
301001	30	-11	12
301002	43	-8	37
301003	35	-20	-2
301004	40	10	23
301005	31	-8	19
301006	36	-7	22
301007	33	-7	35
301008	32	-1	13
301009	39	8	44
301010	44	-4	37
301011	46	-10	40
301012	34	6	49
301013	51	-19	-1
301014	37	4	49
301015	49	0	54
301016	47	0	45
301017	54	8	60
301018	48	5	52
301019	42	-4	25
301020	40	10	23
301021	38	1	44
301022	52	-1	38
301023	45	2	45
301024	41	12	39
301025	53	3	62
301026	55	-3	63
301027	65	-9	60
301028	57	10	67
301029	59	6	46
301030	56	-11	61
301031	58	8	48
301032	66	6	66
301033	69	-4	54
301034	70	-2	45
301035	71	-5	13
301036	65	-9	60
301037	72	12	68
301038	73	11	67
301039	74	13	67
301040	1420	19	72
301041	1410	10	52
301042	1421	18	72
301043	1409	16	68
301044	1407	18	98
301045	1408	12	112
301046	301046	18	68
301047	301047	15	63
301048	301048	6	13
301049	301049	14	73
301050	301049	14	73
301051	301049	14	73
301052	301052	14	72
301053	301053	18	107
301054	301054	23	80
301055	301055	11	29
301056	301056	14	93
301057	301057	12	67
301058	301058	-5	14
301059	301059	13	90
301060	301060	25	100
301061	301061	9	97
302001	302001	-21	-60
302002	302002	-21	-60
302003	302003	-20	-60
302004	302004	-19	-57
302005	302005	-21	-58
302006	302006	-22	-61
302007	302004	-19	-57
302008	302006	-22	-61
302009	302005	-21	-58
302010	302010	-14	-38
302011	302011	-9	-58
302012	302012	-14	-60
302013	302013	0	0
302014	302014	0	0
302015	302015	0	0
302016	302016	-20	-50
302017	302017	-20	-37
302018	302018	-20	-37
302019	302019	-20	-37
302020	302020	-20	-48
302021	302021	-24	-50
302022	302022	-23	-58
302023	302023	15	4
302024	302023	15	4
302025	302023	15	4
302026	302026	15	4
302027	302026	15	4
302028	302026	15	4
302029	302029	19	29
302030	302030	75	45
302031	302031	76	46
303001	303001	-21	-60
303002	303002	-21	-60
303003	303003	-20	-60
303004	303004	-23	-56
303005	303005	-21	-56
303006	303006	-21	-58
303007	303004	-23	-56
303008	303006	-21	-58
303009	303005	-21	-56
303010	303010	-18	-30
303011	303011	-18	-58
303012	303012	-20	-58
303013	303013	2	0
303014	303014	2	0
303015	303015	2	0
303016	303016	-22	-56
303017	303017	-24	-43
303018	303018	-24	-43
303019	303019	-24	-43
303020	303020	-24	-48
303021	303021	-30	-51
303022	303022	-30	-60
303023	303023	11	5
303024	303023	11	5
303025	303023	11	5
303026	303026	11	5
303027	303026	11	5
303028	303026	11	5
303029	303029	15	27
303030	303030	75	44
303031	303031	75	47
304001	304001	-16	-6
304002	304001	-16	-6
304003	304003	-4	-21
304004	304004	-16	-23
304005	304005	-16	-20
304006	304006	-17	-22
304007	304007	-18	-24
304008	304008	-15	-16
304009	304009	-14	-21
304010	304010	-15	-13
304011	304011	-15	-20
304012	304011	-15	-20
304013	304011	-15	-20
304014	304014	-14	-20
304015	304014	-14	-20
304016	304014	-14	-20
304017	304017	-14	-20
304018	304018	-13	-18
304019	304019	-15	-14
304020	304020	-11	-15
304021	304020	-11	-15
304022	304020	-11	-15
304023	304023	-13	-15
304024	304024	-10	-13
304025	304025	-15	-18
304026	304026	-13	-18
304027	304027	-13	-18
304028	304028	-13	-18
304029	304029	-15	-13
304030	304029	-15	-13
304031	304029	-15	-13
304032	304032	-13	-18
304033	304032	-13	-18
304034	304032	-13	-18
304035	304035	-8	-6
