id	cost	monster1	monster2	monster3
1	5	20001	10011	10011
2	10	20007	10031	10032
3	15	20003	10018	10018
4	20	20004	10023	10023
5	25	20006	20005	20005
6	30	20010	10039	10039
7	35	20013	10040	10041
8	40	20015	10049	10051
9	45	20018	20017	20016
10	50	20024	20023	20023
11	60	20021	20020	20019
12	70	20030	20029	20029
13	80	20039	10094	10097
14	90	20040	10099	10099
15	100	20041	10112	10112
16	110	20042	10126	10126
17	120	20043	10135	10135
18	130	20044	10127	10128
19	140	21001	21001	
20	150	21002	21003	
21	170	21004	11019	11020
22	190	21005	11028	11028
23	210	21006	21006	21007
24	230	21008	11042	11043
25	250	21009	21010	
26	270	21011	21012	21014
27	290	21013	21013	21015
28	310	21016	12019	12019
29	330	21017	12026	12026
30	350	21018	12031	12031
