id	item1	item2	item3	item4	item5	item6	item7	item8	item9	item10	item11	item12	item13	item14	item15
1	201001	201011	203001	203016	205001	201002	201012	203002	203017	205004	201003	201013	203003	203018	205007
2	201001	201011	203001	203016	205001	201002	201012	203002	203017	205004	201003	201013	203003	203018	205007
3	201001	201011	203002	203017	205001	201002	201012	203003	203018	205004	201003	201013	203004	203019	205007
4	201001	201011	203002	203017	205001	201002	201012	203003	203018	205004	201003	201013	203004	203019	205007
5	201002	201011	203003	203018	205001	201003	201012	203004	203019	205004	201004	201013	203005	203020	205007
6	201002	201011	203003	203018	205001	201003	201012	203004	203019	205004	201004	201013	203005	203020	205007
7	201002	201012	203004	203019	205001	201003	201013	203005	203020	205004	201004	201014	203006	203021	205007
8	201002	201012	203004	203019	205001	201003	201013	203005	203020	205004	201004	201014	203006	203021	205007
9	201003	201012	203005	203020	205001	201004	201013	203006	203021	205004	201005	201014	203007	203022	205007
10	201003	201012	203005	203020	205001	201004	201013	203006	203021	205004	201005	201014	203007	203022	205007
11	201003	201012	203006	203021	205002	201004	201013	203007	203022	205005	201005	201014	203008	203023	205008
12	201003	201012	203006	203021	205002	201004	201013	203007	203022	205005	201005	201014	203008	203023	205008
13	201004	201013	203007	203022	205002	201005	201014	203008	203023	205005	201006	201015	203009	203024	205008
14	201004	201013	203007	203022	205002	201005	201014	203008	203023	205005	201006	201015	203009	203024	205008
15	201004	201013	203008	203023	205002	201005	201014	203009	203024	205005	201006	201015	203010	203025	205008
16	201004	201013	203008	203023	205002	201005	201014	203009	203024	205005	201006	201015	203010	203025	205008
17	201005	201013	203008	203023	205002	201006	201014	203009	203024	205005	201007	201015	203010	203025	205008
18	201005	201013	203008	203023	205002	201006	201014	203009	203024	205005	201007	201015	203010	203025	205008
19	201005	201014	203008	203023	205002	201006	201015	203009	203024	205005	201007	201016	203010	203025	205008
20	201005	201014	203008	203023	205002	201006	201015	203009	203024	205005	201007	201016	203010	203025	205008
21	201006	201014	203009	203024	205003	201007	201015	203010	203025	205006	201008	201016	203011	203026	205009
22	201006	201014	203009	203024	205003	201007	201015	203010	203025	205006	201008	201016	203011	203026	205009
23	201006	201014	203009	203024	205003	201007	201015	203010	203025	205006	201008	201016	203011	203026	205009
24	201006	201014	203009	203024	205003	201007	201015	203010	203025	205006	201008	201016	203011	203026	205009
25	201007	201015	203009	203024	205003	201008	201016	203010	203025	205006	201009	201017	203011	203026	205009
26	201007	201015	203010	203025	205003	201008	201016	203011	203026	205006	201009	201017	203012	203027	205009
27	201007	201015	203010	203025	205003	201008	201016	203011	203026	205006	201009	201017	203012	203027	205009
28	201007	201015	203010	203025	205003	201008	201016	203011	203026	205006	201009	201017	203012	203027	205009
29	201008	201015	203010	203025	205003	201009	201016	203011	203026	205006	201010	201017	203012	203027	205009
30	201008	201015	203010	203025	205003	201009	201016	203011	203026	205006	201010	201017	203012	203027	205009
