ID	名称	等级	经验	血	回血	蓝	回蓝	气	攻	魔	道	物防	魔防	暴击概率	暴击伤害	穿透	攻击速度
20101	半兽勇士	100	300	300	10	100	10	10	20	0	0	5	5	0	100	10	1
20102	骷髅精灵	100	600	500	10	100	10	10	30	0	0	5	5	0	100	10	1
20103	尸王	100	800	500	10	100	10	10	40	0	0	5	5	0	100	10	1
20104	沃玛护卫	100	1200	1000	10	100	10	10	50	0	0	5	5	0	100	10	1
20105	沃玛教主	100	2500	2200	10	100	10	10	100	0	0	5	5	0	100	10	1
20201	巨型多角虫	100	200	250	10	100	10	10	20	0	0	5	5	0	100	10	1
20202	邪恶钳虫	100	1400	1000	10	100	10	10	50	0	0	5	5	0	100	10	1
20203	触龙神	100	2200	1000	10	100	10	10	150	0	0	5	5	0	100	10	1
20204	邪恶毒蛇	100	1800	1100	10	100	10	10	140	0	0	5	5	0	100	10	1
20205	白野猪	100	1600	1000	10	100	10	10	150	0	0	5	5	0	100	10	1
20206	祖玛教主	100	3000	3000	10	100	10	10	200	0	0	5	5	0	100	10	1
