lv	name	need	dc1	dc2	mc1	mc2	sc1	sc2
0	凡人	800	0	0	0	0	0	0
1	炼气一阶	1000	1	0	1	0	1	0
2	炼气二阶	1100	2	0	1	0	1	0
3	炼气三阶	1300	3	0	2	0	2	0
4	炼气四阶	1600	4	0	3	0	2	0
5	炼气五阶	2000	5	1	3	0	3	0
6	炼气六阶	2500	6	1	4	0	3	0
7	炼气七阶	3100	7	1	5	1	4	0
8	炼气八阶	3800	8	1	5	1	4	0
9	炼气九阶	4600	9	1	6	1	5	1
10	炼气圆满	5500	10	2	7	1	6	1
11	筑基一阶	6500	12	2	8	1	7	1
12	筑基二阶	7700	14	2	9	1	8	1
13	筑基三阶	9100	16	3	10	2	9	1
14	筑基四阶	10700	18	3	12	2	10	2
15	筑基五阶	12500	20	4	13	2	11	2
16	筑基六阶	14500	22	4	14	2	12	2
17	筑基七阶	16700	24	4	16	3	13	2
18	筑基八阶	19100	26	5	17	3	14	2
19	筑基九阶	21700	28	5	18	3	15	3
20	筑基圆满	24500	30	6	20	4	17	3
