mapID	name	icon	need_lv	MonsterCount	monster	boss
1	新手试练	1	1	1	100001-100003	
2	城郊	2	5	1	100004-100011	100012
3	半兽人古墓	3	8	1	100013-100019	100020
4	矿洞	4	10	1	100021-100025	100026
5	沃玛神殿	5	17	2	100027-100032	100033-100034
6	毒蛇山谷	6	12	1	100035-100038	100041
7	蜈蚣洞	7	20	2	100042-100046	100059-100060
8	猪洞	8	22	2	100046-100051	100061-100063
9	祖玛神殿	9	30	3	100046-100047,100051-100058	100064
10	赤月峡谷	10	40	3	100065-100073	100074-100076
11	封魔殿	11	28	3	100046-100058	100061-100062,100094-100096
12	尸魔洞	12	25	3	100077-100078	100079
13	骨魔洞	13	28	3	100080-100083	100084
14	牛魔寺庙	14	32	3	100085-100092	100093
15	王者禁地	15	42	3	100099-100101	100102-100108
16	魔龙东关	16	45	4	100109-100111	100116
17	魔龙西关	17	45	4	100109-100111	100117
18	魔龙祭坛	18	45	4	100109-100111	100115
19	魔龙谷	19	47	4	100109-100114	100119
20	魔龙血域	20	50	4	100109-100114	100118
21	雷炎窟1层	21	60	4	100120-100126	100130
22	雷炎窟2层	22	65	4	100127-100129	100130
23	古代遗迹	23	65	4	100131-100138	100139
24	狐月山1	24	70	4	100140-100144	100151
25	狐月山2	25	75	4	100145-100150	100152
26	雪域国1	26	0	4	100153-100157	100165
27	雪域国2	27	0	4	100155-100161	100165
28	雪域国3	28	0	4	100162-100164	100166
29	火龙洞1	29	0	4	100167-100176	100177
30	火龙洞2	30	0	4	100167-100176	100178
1001	矿洞	4	25	2	100021-100025	
