mapID	chance	item1	item2	item3	item4	item5	item6	item7	item8	item9	item10	item11	item12	item13	item14	item15	item16	item17	item18	item19	item20	item21	item22	item23	item24	item25
1	15	301001	302001	303001																						
2	15	301002	301006	304001	305001	306001	306004	307001	307002	307003	307004	309001	310001													
3	15	301009	301010	301011	302002	303002	304002	305006	305007	306006	307006	309002	220001	220002	220003	220004										
4	15	307013	307015	307011	307005	307007	220005	220006	220010	220011	220012	220015	220017	220023												
5	17	301014	301015	301016	302004	303004	305020	306016	306010	307008	307009	307010	307014	309003												
6	15	301005	301008	301020	302003	303003	305014	305015	306012	306014	306011	220007	220028													
7	15	301019	301021	301024	302005	303005	305010	305012	305013	305021	306021	307012	310004													
8	15	301018	301022	301023	302006	303006	304003	304004	305022	306022	307017	310002	310003													
9	15	301026	301029	301030	304007	305023	305024	305025	307014	307016	307018	307021	307022	309004												
10	25	301017	301028	301031	304008	304009	304010	305026	305027	305028	306028	306029	306030	307027	307028	307029										
11	15	301025	301027	304005	304006	305015	305016	305017	307014	307016	307018															
12	15	301018	301033	302007	303007	306017	306018	220013	220014	220024	220025	220026	220029	220030	220031	220033										
13	15	301022	301034	302008	303008	305021	306019	306020	306021	307016	307023	307024														
14	15	301025	301035	302009	303009	305022	306018	306025	306026	306027	307018	309005														
15	20	301036	302007	302008	302009	302010	302011	302012	303007	303008	303009	303010	303011	303012												
16	20	301034	302007	303007	302013	303013	305023	305032	306025	306034	307022	307033	310004	310005												
17	20	301033	302009	303009	302014	303014	305025	305033	306026	306035	307023	307034	310004	310006												
18	20	301035	302008	303008	302015	303015	305024	305034	306027	306036	307024	307035	310004	310007												
19	17	305026	305027	305028	305029	305030	305031	306028	306029	306030	306031	306032	306033	307027	307028	307029	307030	307031	307032	309006						
20	17	301037	301038	301039	302007	302008	302009	302016	303007	303008	303009	303016	304008	304009	304010	304011	304012	304013	309007							
21	20	304008	304009	304010	304014	304015	304016	309007	309008	310003	310004	310008	310009	310010												
22	17	305026	305027	305028	305035	305036	305037	306028	306029	306030	306037	306038	306039	307027	307028	307029	307036	307037	307038	220022						
23	17	302010	302011	302012	302017	302018	302019	303010	303011	303012	303017	303018	303019	220034	220046											
24	20	301019	301024	301035	302007	302008	302009	303007	303008	303009	304006	304007	304017	304018	304019	305026	305027	305028	309008	309009	310011	310012	310013			
25	20	301019	301024	301035	301037	301038	301039	305038	305039	305040	306028	306029	306030	306040	306041	306042	307027	307028	307029	307039	307040	307041				
26	20	304008	304009	304010	304020	304021	304022	305026	305027	305028	305041	305042	305043	307027	307028	307029	307042	307043	307044							
27	20	301033	301034	301035	301040	301041	301042	306028	306029	306030	306043	306044	306045	309008	309009	309010	220009	220027	220038							
28	20	302010	302011	302012	302020	302021	302022	303010	303011	303012	303020	303021	303022	310002	310003	310004	310014	310015	310016							
29	20	305026	305027	305028	305044	305045	305046	306028	306029	306030	306046	306047	306048	307027	307028	307029	307045	307046	307047	309009	309010	309011				
30	20	301033	301034	301035	301043	301044	301045	304008	304009	304010	304023	304024	304025	310002	310003	310004	310017	310018	310019	220041						
1001	5	202001	202002	202003	202021	202022	202023	202041	202042	202043	202061	202062	202063	202081	202082	202083	202101	202102	202103	202121	202122	202123				
