ID	Name	photo	Lv	luck	spd	hp	ac	mac	Dc	Dc2	Mc	Mc2	Sc	Sc2	Need	NeedLvl	Price
301001	木剑	301001	1	0	0	0	0	0	6	6	0	0	0	0	0	1	5
301002	乌木剑	301002	1	0	0	0	0	0	4	8	0	1	0	0	0	1	40
301003	匕首	301003	1	0	0	0	0	0	4	5	0	0	0	0	0	1	50
301004	罗刹	301004	1	0	0	0	0	0	15	0	0	0	0	0	0	15	500
301005	青铜剑	301005	1	0	0	0	0	0	3	7	0	0	0	0	0	5	90
301006	铁剑	301006	1	0	0	0	0	0	5	9	0	0	0	0	0	10	120
301007	短剑	301007	1	0	0	0	0	0	3	11	0	0	0	0	0	10	100
301008	青铜斧	301008	1	0	0	0	0	0	0	15	0	0	0	0	0	13	150
301009	海魂	301009	1	0	0	0	0	0	3	10	1	2	0	0	0	15	300
301010	八荒	301010	1	0	0	0	0	0	4	12	0	0	0	0	0	15	500
301011	半月	301011	1	0	0	0	0	0	5	10	0	1	1	1	0	15	400
301012	凌风	301012	1	0	0	0	0	0	6	12	0	0	0	0	0	19	500
301013	破魂	301013	1	0	120	0	0	0	1	1	0	1	0	1	0	20	500
301014	斩马刀	301014	1	0	0	0	0	0	5	15	0	0	0	0	0	20	600
301015	偃月	301015	1	0	0	0	0	0	4	10	1	3	0	0	0	20	910
301016	降魔	301016	1	0	0	0	0	0	6	11	0	0	1	2	0	20	1000
301017	祈祷之刃	301017	4	2	0	0	0	0	8	20	0	0	0	0	0	20	2000
301018	井中月	301018	3	0	0	0	0	0	7	22	0	0	0	0	0	28	3000
301019	魔杖	301019	2	0	0	0	0	0	5	9	2	5	0	0	0	26	1500
301020	修罗	301004	1	0	0	0	0	0	0	20	0	0	0	0	0	22	1000
301021	银蛇	301021	2	0	0	0	0	0	7	14	0	0	1	3	0	26	1500
301022	无极棍	301022	2	0	0	0	0	0	8	16	0	0	3	5	3	25	3000
301023	凝霜	301023	1	0	0	0	0	0	10	13	0	0	0	0	0	25	1800
301024	炼狱	301024	2	0	0	0	0	0	0	25	0	0	0	0	0	26	2000
301025	血饮	301025	4	0	0	0	0	0	6	16	3	5	0	0	2	27	4000
301026	裁决之杖	301026	3	0	0	0	0	0	0	30	0	0	0	0	0	30	5000
301027	命运之刃	301027	4	2	0	0	0	0	12	16	0	0	0	0	0	35	2300
301028	屠龙	301028	7	0	0	0	0	0	5	35	0	0	0	0	0	34	2000
301029	骨玉权杖	301029	3	0	0	0	0	0	6	12	2	6	0	0	0	35	1800
