ID	Name	photo	vocation	Lvl	coin	作用	value	descr
0	错误物品	0	0	0	0	0	0	错误物品
201001	零星金币	1001	0	1	11	1000	20	大洋20个
201002	零散金币	1002	0	1	22	1000	100	大洋100个
201003	些许金币	1003	0	1	55	1000	200	大洋200个
201004	小堆金币	1004	0	1	110	1000	500	大洋500个
201005	大堆金币	1005	0	1	550	1000	2000	大洋2000个
201006	金条	1006	0	30	1100000	1000	1000000	别说你不知道
201007	金砖	1007	0	50	5200000	1000	5000000	别说你不知道
201008	金盒	1008	0	70	11000000	1000	10000000	别说你不知道
202001	金矿	1010	0	1	50	0	1	金矿,纯度:1
202002	金矿	1010	0	1	200	0	2	金矿,纯度:2
202003	金矿	1010	0	1	450	0	3	金矿,纯度:3
202004	金矿	1010	0	1	800	0	4	金矿,纯度:4
202005	金矿	1010	0	1	1250	0	5	金矿,纯度:5
202006	金矿	1010	0	1	1800	0	6	金矿,纯度:6
202007	金矿	1010	0	1	2450	0	7	金矿,纯度:7
202008	金矿	1010	0	1	3200	0	8	金矿,纯度:8
202009	金矿	1010	0	1	4050	0	9	金矿,纯度:9
202010	金矿	1010	0	1	5000	0	10	金矿,纯度:10
202011	金矿	1010	0	1	6050	0	11	金矿,纯度:11
202012	金矿	1010	0	1	7200	0	12	金矿,纯度:12
202013	金矿	1010	0	1	8450	0	13	金矿,纯度:13
202014	金矿	1010	0	1	9800	0	14	金矿,纯度:14
202015	金矿	1010	0	1	11250	0	15	金矿,纯度:15
202016	金矿	1010	0	1	12800	0	16	金矿,纯度:16
202017	金矿	1010	0	1	14450	0	17	金矿,纯度:17
202018	金矿	1010	0	1	16200	0	18	金矿,纯度:18
202019	金矿	1010	0	1	18050	0	19	金矿,纯度:19
202020	金矿	1010	0	1	20000	0	20	金矿,纯度:20
202021	银矿	1011	0	1	25	0	1	银矿,纯度:1
202022	银矿	1011	0	1	100	0	2	银矿,纯度:2
202023	银矿	1011	0	1	225	0	3	银矿,纯度:3
202024	银矿	1011	0	1	400	0	4	银矿,纯度:4
202025	银矿	1011	0	1	625	0	5	银矿,纯度:5
202026	银矿	1011	0	1	900	0	6	银矿,纯度:6
202027	银矿	1011	0	1	1225	0	7	银矿,纯度:7
202028	银矿	1011	0	1	1600	0	8	银矿,纯度:8
202029	银矿	1011	0	1	2025	0	9	银矿,纯度:9
202030	银矿	1011	0	1	2500	0	10	银矿,纯度:10
