Level	exp	hp	mp	dc1	dc2	mc1	mc2	sc1	sc2	ac	mac
1	50 	30	5	0	0	0	0	0	0	0	0
2	100 	37	7	0	1	0	0	0	0	0	0
3	170 	44	9	0	1	0	0	0	0	0	0
4	260 	51	11	0	1	0	0	0	0	0	0
5	440 	58	13	1	2	0	0	0	0	0	0
6	570 	65	15	1	2	0	0	0	0	0	0
7	750 	72	17	1	2	0	0	0	0	0	0
8	900 	79	19	1	3	0	0	0	0	0	0
9	1350 	86	21	1	3	0	0	0	0	0	0
10	2600 	93	23	2	3	0	0	0	0	1	0
11	4500 	102	26	2	4	0	0	0	0	1	0
12	7380 	111	29	2	4	0	0	0	0	1	0
13	10760 	120	32	2	4	0	0	0	0	1	0
14	14680 	129	35	2	5	0	0	0	0	1	0
15	19180 	138	38	3	5	0	0	0	0	1	0
16	27180 	147	41	3	5	0	0	0	0	1	0
17	36211 	156	44	3	6	0	0	0	0	1	0
18	46336 	165	47	3	6	0	0	0	0	1	0
19	57618 	174	50	3	6	0	0	0	0	1	0
20	70951 	183	53	4	7	0	0	0	0	2	1
21	85651 	195	57	4	7	0	0	0	0	2	1
22	101784 	207	61	4	7	0	0	0	0	2	1
23	119418 	219	65	4	8	0	0	0	0	2	1
24	138618 	231	69	4	8	0	0	0	0	2	1
25	159451 	243	73	5	8	0	0	0	0	2	1
26	201701 	255	77	5	9	0	0	0	0	2	1
27	247263 	267	81	5	9	0	0	0	0	2	1
28	296263 	279	85	5	9	0	0	0	0	2	1
29	348826 	291	89	5	10	0	0	0	0	2	1
30	405076 	303	93	6	10	0	0	0	0	3	1
31	465138 	319	99	6	10	0	0	0	0	3	1
32	529138 	335	105	6	11	0	0	0	0	3	1
33	597201 	351	111	6	11	0	0	0	0	3	1
34	669451 	367	117	6	11	0	0	0	0	3	1
35	746013 	383	123	7	12	0	0	0	0	3	1
36	908013 	399	129	7	12	0	0	0	0	3	1
37	1079138 	415	135	7	12	0	0	0	0	3	1
38	1259638 	431	141	7	13	0	0	0	0	3	1
39	1449763 	447	147	7	13	0	0	0	0	3	1
40	1649763 	463	153	8	13	0	0	0	0	4	2
41	1929930 	485	162	8	14	0	0	0	0	4	2
42	2223930 	507	171	8	14	0	0	0	0	4	2
43	2532097 	529	180	8	14	0	0	0	0	4	2
44	2854763 	551	189	8	15	0	0	0	0	4	2
45	3192263 	573	198	9	15	0	0	0	0	4	2
46	3544930 	595	207	9	15	0	0	0	0	4	2
47	3913097 	617	216	9	16	0	0	0	0	4	2
48	4297097 	639	225	9	16	0	0	0	0	4	2
49	4697263 	661	234	9	16	0	0	0	0	4	2
50	5113930 	683	243	10	17	0	0	0	0	5	2
51	5764180 	712	256	10	17	0	0	0	0	5	2
52	6440180 	741	269	10	17	0	0	0	0	5	2
53	7142430 	770	282	10	18	0	0	0	0	5	2
54	7871430 	799	295	10	18	0	0	0	0	5	2
55	8627680 	828	308	11	18	0	0	0	0	5	2
56	9411680 	857	321	11	19	0	0	0	0	5	2
57	10223930 	886	334	11	19	0	0	0	0	5	2
58	11064930 	915	347	11	19	0	0	0	0	5	2
59	11935180 	944	360	11	20	0	0	0	0	5	2
60	12835180 	973	373	12	20	0	0	0	0	6	3
61	13765430 	1011	391	12	20	0	0	0	0	6	3
62	14726430 	1049	409	12	21	0	0	0	0	6	3
63	15718680 	1087	427	12	21	0	0	0	0	6	3
64	16742680 	1125	445	12	21	0	0	0	0	6	3
65	17798930 	1163	463	13	22	0	0	0	0	6	3
66	18887930 	1201	481	13	22	0	0	0	0	6	3
67	20010180 	1239	499	13	22	0	0	0	0	6	3
68	21166180 	1277	517	13	23	0	0	0	0	6	3
69	22356430 	1315	535	13	23	0	0	0	0	6	3
70	23581430 	1353	553	14	23	0	0	0	0	7	3
71	26101930 	1401	577	14	24	0	0	0	0	7	3
72	28693930 	1449	601	14	24	0	0	0	0	7	3
73	31358430 	1497	625	14	24	0	0	0	0	7	3
74	34096430 	1545	649	14	25	0	0	0	0	7	3
75	36908930 	1593	673	15	25	0	0	0	0	7	3
76	39796930 	1641	697	15	25	0	0	0	0	7	3
77	42761430 	1689	721	15	26	0	0	0	0	7	3
78	45803430 	1737	745	15	26	0	0	0	0	7	3
79	48923930 	1785	769	15	26	0	0	0	0	7	3
80	52123930 	1833	793	16	27	0	0	0	0	8	4
81	55404430 	1892	824	16	27	0	0	0	0	8	4
82	58766430 	1951	855	16	27	0	0	0	0	8	4
83	62210930 	2010	886	16	28	0	0	0	0	8	4
84	65738930 	2069	917	16	28	0	0	0	0	8	4
85	69351430 	2128	948	17	28	0	0	0	0	8	4
86	73049430 	2187	979	17	29	0	0	0	0	8	4
87	76833930 	2246	1010	17	29	0	0	0	0	8	4
88	80705930 	2305	1041	17	29	0	0	0	0	8	4
89	84666430 	2364	1072	17	30	0	0	0	0	8	4
90	88716430 	2423	1103	18	30	0	0	0	0	9	4
91	92856930 	2494	1142	18	30	0	0	0	0	9	4
92	97088930 	2565	1181	18	31	0	0	0	0	9	4
93	101413430 	2636	1220	18	31	0	0	0	0	9	4
94	105831430 	2707	1259	18	31	0	0	0	0	9	4
95	110343930 	2778	1298	19	32	0	0	0	0	9	4
96	114951930 	2849	1337	19	32	0	0	0	0	9	4
97	119656430 	2920	1376	19	32	0	0	0	0	9	4
98	124458430 	2991	1415	19	33	0	0	0	0	9	4
99	129358930 	3062	1454	19	33	0	0	0	0	9	4
100	134358930 	3133	1493	20	33	0	0	0	0	10	5
101	139459430 	3217	1532	20	34	0	0	0	0	10	5
102	144661430 	3301	1571	20	34	0	0	0	0	10	5
103	149965930 	3385	1610	20	34	0	0	0	0	10	5
104	155373930 	3469	1649	20	35	0	0	0	0	10	5
105	160886430 	3553	1688	21	35	0	0	0	0	10	5
106	166504430 	3637	1727	21	35	0	0	0	0	10	5
107	172228930 	3721	1766	21	36	0	0	0	0	10	5
108	178060930 	3805	1805	21	36	0	0	0	0	10	5
109	184001430 	3889	1844	21	36	0	0	0	0	10	5
110	190051430 	3973	1883	22	37	0	0	0	0	11	5
111	196211930 	4071	1922	22	37	0	0	0	0	11	5
112	202483930 	4169	1961	22	37	0	0	0	0	11	5
113	208868430 	4267	2000	22	38	0	0	0	0	11	5
114	215366430 	4365	2039	22	38	0	0	0	0	11	5
115	221978930 	4463	2078	23	38	0	0	0	0	11	5
116	228706930 	4561	2117	23	39	0	0	0	0	11	5
117	235551430 	4659	2156	23	39	0	0	0	0	11	5
118	242513430 	4757	2195	23	39	0	0	0	0	11	5
119	249593930 	4855	2234	23	40	0	0	0	0	11	5
120	256793930 	4953	2273	24	40	0	0	0	0	12	6
121	264114430 	5066	2312	24	40	0	0	0	0	12	6
122	271556430 	5179	2351	24	41	0	0	0	0	12	6
123	279120930 	5292	2390	24	41	0	0	0	0	12	6
124	286808930 	5405	2429	24	41	0	0	0	0	12	6
125	294621430 	5518	2468	25	42	0	0	0	0	12	6
126	302559430 	5631	2507	25	42	0	0	0	0	12	6
127	310623930 	5744	2546	25	42	0	0	0	0	12	6
128	318815930 	5857	2585	25	43	0	0	0	0	12	6
