Level	hp	mp	dc1	dc2	mc1	mc2	sc1	sc2	ac1	ac2	mac1	mac2
1	30	5	0	0	0	0	0	0	0	1	0	1
2	33	10	0	0	0	1	0	0	0	1	0	1
3	36	15	0	0	0	1	0	0	0	1	0	1
4	39	20	0	0	0	1	0	0	0	1	0	1
5	42	25	0	0	0	2	0	0	0	1	0	1
6	45	30	0	0	1	2	0	0	0	1	0	1
7	48	35	0	0	1	2	0	0	0	1	0	2
8	51	40	0	0	1	3	0	0	0	1	0	2
9	54	45	0	0	2	3	0	0	0	1	0	2
10	57	50	0	0	2	3	0	0	0	2	1	2
11	61	58	0	0	2	4	0	0	0	2	1	2
12	65	66	0	0	3	4	0	0	0	2	1	2
13	69	74	0	0	3	4	0	0	0	2	1	2
14	73	82	0	0	3	5	0	0	0	2	1	3
15	77	90	0	0	4	5	0	0	0	2	1	3
16	81	98	0	0	4	5	0	0	1	2	1	3
17	85	106	0	0	4	6	0	0	1	2	1	3
18	89	114	0	0	4	6	0	0	1	2	1	3
19	93	122	0	0	4	6	0	0	1	2	1	3
20	97	130	0	0	4	7	0	0	1	3	2	3
21	102	143	0	0	5	7	0	0	1	3	2	4
22	107	156	0	0	5	7	0	0	1	3	2	4
23	112	169	0	0	5	8	0	0	1	3	2	4
24	117	182	0	0	6	8	0	0	1	3	2	4
25	122	195	0	0	6	8	0	0	1	3	2	4
26	127	208	0	0	6	9	0	0	1	3	2	4
27	132	221	0	0	7	9	0	0	1	3	2	4
28	137	234	0	0	7	9	0	0	1	3	2	5
29	142	247	0	0	7	10	0	0	1	3	2	5
30	147	260	0	0	8	10	0	0	1	4	3	5
31	154	280	0	0	8	10	0	0	1	4	3	5
32	161	300	0	0	8	11	0	0	2	4	3	5
33	168	320	0	0	8	11	0	0	2	4	3	5
34	175	340	0	0	8	11	0	0	2	4	3	5
35	182	360	0	0	8	12	0	0	2	4	3	6
36	189	380	0	0	9	12	0	0	2	4	3	6
37	196	400	0	0	9	12	0	0	2	4	3	6
38	203	420	0	0	9	13	0	0	2	4	3	6
39	210	440	0	0	10	13	0	0	2	4	3	6
40	217	460	0	0	10	13	0	0	2	5	4	6
41	227	490	0	0	10	14	0	0	2	5	4	6
42	237	520	0	0	11	14	0	0	2	5	4	7
43	247	550	0	0	11	14	0	0	2	5	4	7
44	257	580	0	0	11	15	0	0	2	5	4	7
45	267	610	0	0	12	15	0	0	2	5	4	7
46	277	640	0	0	12	15	0	0	2	5	4	7
47	287	670	0	0	12	16	0	0	2	5	4	7
48	297	700	0	0	12	16	0	0	3	5	4	7
49	307	730	0	0	12	16	0	0	3	5	4	8
50	317	760	0	0	12	17	0	0	3	6	5	8
51	330	805	0	0	13	17	0	0	3	6	5	8
52	343	850	0	0	13	17	0	0	3	6	5	8
53	356	895	0	0	13	18	0	0	3	6	5	8
54	369	940	0	0	14	18	0	0	3	6	5	8
55	382	985	0	0	14	18	0	0	3	6	5	8
56	395	1030	0	0	14	19	0	0	3	6	5	9
57	408	1075	0	0	15	19	0	0	3	6	5	9
58	421	1120	0	0	15	19	0	0	3	6	5	9
59	434	1165	0	0	15	20	0	0	3	6	5	9
60	447	1210	0	0	16	20	0	0	3	7	6	9
61	464	1270	0	0	16	20	0	0	3	7	6	9
62	481	1330	0	0	16	21	0	0	3	7	6	9
63	498	1390	0	0	16	21	0	0	3	7	6	10
64	515	1450	0	0	16	21	0	0	4	7	6	10
65	532	1510	0	0	16	22	0	0	4	7	6	10
66	549	1570	0	0	17	22	0	0	4	7	6	10
67	566	1630	0	0	17	22	0	0	4	7	6	10
68	583	1690	0	0	17	23	0	0	4	7	6	10
69	600	1750	0	0	18	23	0	0	4	7	6	10
70	617	1810	0	0	18	23	0	0	4	8	7	11
71	640	1890	0	0	18	24	0	0	4	8	7	11
72	663	1970	0	0	19	24	0	0	4	8	7	11
73	686	2050	0	0	19	24	0	0	4	8	7	11
74	709	2130	0	0	19	25	0	0	4	8	7	11
75	732	2210	0	0	20	25	0	0	4	8	7	11
76	755	2290	0	0	20	25	0	0	4	8	7	11
77	778	2370	0	0	20	26	0	0	4	8	7	12
78	801	2450	0	0	20	26	0	0	4	8	7	12
79	824	2530	0	0	20	26	0	0	4	8	7	12
80	847	2610	0	0	20	27	0	0	5	9	8	12
81	877	2720	0	0	21	27	0	0	5	9	8	12
82	907	2830	0	0	21	27	0	0	5	9	8	12
83	937	2940	0	0	21	28	0	0	5	9	8	12
84	967	3050	0	0	22	28	0	0	5	9	8	13
85	997	3160	0	0	22	28	0	0	5	9	8	13
86	1027	3270	0	0	22	29	0	0	5	9	8	13
87	1057	3380	0	0	23	29	0	0	5	9	8	13
88	1087	3490	0	0	23	29	0	0	5	9	8	13
89	1117	3600	0	0	23	30	0	0	5	9	8	13
90	1147	3710	0	0	24	30	0	0	5	10	9	13
91	1187	3850	0	0	24	30	0	0	5	10	9	14
92	1227	3990	0	0	24	31	0	0	5	10	9	14
93	1267	4130	0	0	24	31	0	0	5	10	9	14
94	1307	4270	0	0	24	31	0	0	5	10	9	14
95	1347	4410	0	0	24	32	0	0	5	10	9	14
96	1387	4550	0	0	25	32	0	0	6	10	9	14
97	1427	4690	0	0	25	32	0	0	6	10	9	14
98	1467	4830	0	0	25	33	0	0	6	10	9	15
99	1507	4970	0	0	26	33	0	0	6	10	9	15
100	1547	5110	0	0	26	33	0	0	6	11	10	15
