Level	exp	hp	mp	dc1	dc2	mc1	mc2	sc1	sc2	ac1	ac2	mac1	mac2
1	30	30	5	0	0	0	0	0	0	0	1	0	1
2	50	34	9	0	0	0	0	0	1	0	1	0	1
3	100	38	13	0	0	0	0	0	1	0	1	0	1
4	150	42	17	0	0	0	0	0	1	0	1	0	1
5	200	46	21	0	0	0	0	0	2	0	1	0	1
6	300	50	25	0	0	0	0	1	2	0	1	0	1
7	500	54	29	0	0	0	0	1	2	0	1	0	1
8	1140	58	33	0	0	0	0	1	3	0	1	0	1
9	1950	62	37	0	0	0	0	2	3	0	1	0	1
10	2950	68	43	0	0	0	0	2	3	0	2	0	2
11	4160	74	49	0	0	0	0	2	4	0	2	0	2
12	5600	80	55	0	0	0	0	3	4	0	2	0	2
13	7290	86	61	0	0	0	0	3	4	0	2	0	2
14	9250	92	67	0	0	0	0	3	5	0	2	0	2
15	11500	98	73	0	0	0	0	4	5	0	2	0	2
16	14060	104	79	0	0	0	0	4	5	0	2	0	2
17	16950	110	85	0	0	0	0	4	6	0	2	0	2
18	20190	116	91	0	0	0	0	5	6	1	2	1	2
19	23800	122	97	0	0	0	0	5	6	1	2	1	2
20	39800	128	103	0	0	0	0	5	7	1	3	1	3
21	57440	137	112	0	0	0	0	6	7	1	3	1	3
22	76800	146	121	0	0	0	0	6	7	1	3	1	3
23	97960	155	130	0	0	0	0	6	8	1	3	1	3
24	121000	164	139	0	0	0	0	7	8	1	3	1	3
25	146000	173	148	0	0	0	0	7	8	1	3	1	3
26	173040	182	157	0	0	0	0	7	9	1	3	1	3
27	202200	191	166	0	0	0	0	8	9	1	3	1	3
28	233560	200	175	0	0	0	0	8	9	1	3	1	3
29	267200	209	184	0	0	0	0	8	10	1	3	1	3
30	303200	218	193	0	0	0	0	9	10	1	4	1	4
31	341640	231	207	0	0	0	0	9	10	1	4	1	4
32	382600	244	221	0	0	0	0	9	11	1	4	1	4
33	426160	257	235	0	0	0	0	9	11	1	4	1	4
34	472400	270	249	0	0	0	0	9	11	1	4	1	4
35	521400	283	263	0	0	0	0	9	12	1	4	1	4
36	573240	296	277	0	0	0	0	10	12	2	4	2	4
37	628000	309	291	0	0	0	0	10	12	2	4	2	4
38	685760	322	305	0	0	0	0	10	13	2	4	2	4
39	746600	335	319	0	0	0	0	11	13	2	4	2	4
40	810600	348	333	0	0	0	0	11	13	2	5	2	5
41	877840	366	353	0	0	0	0	11	14	2	5	2	5
42	948400	384	373	0	0	0	0	12	14	2	5	2	5
43	1022360	402	393	0	0	0	0	12	14	2	5	2	5
44	1099800	420	413	0	0	0	0	12	15	2	5	2	5
45	1180800	438	433	0	0	0	0	13	15	2	5	2	5
46	1265440	456	453	0	0	0	0	13	15	2	5	2	5
47	1353800	474	473	0	0	0	0	13	16	2	5	2	5
48	1445960	492	493	0	0	0	0	14	16	2	5	2	5
49	1542000	510	513	0	0	0	0	14	16	2	5	2	5
50	1642000	528	533	0	0	0	0	14	17	2	6	2	6
51	1746040	552	560	0	0	0	0	15	17	2	6	2	6
52	1854200	576	587	0	0	0	0	15	17	2	6	2	6
53	1966560	600	614	0	0	0	0	15	18	2	6	2	6
54	2083200	624	641	0	0	0	0	16	18	3	6	3	6
55	2204200	648	668	0	0	0	0	16	18	3	6	3	6
56	2329640	672	695	0	0	0	0	16	19	3	6	3	6
57	2459600	696	722	0	0	0	0	17	19	3	6	3	6
58	2594160	720	749	0	0	0	0	17	19	3	6	3	6
59	2733400	744	776	0	0	0	0	17	20	3	6	3	6
60	2877400	768	803	0	0	0	0	18	20	3	7	3	7
61	3026240	799	838	0	0	0	0	18	20	3	7	3	7
62	3180000	830	873	0	0	0	0	18	21	3	7	3	7
63	3338760	861	908	0	0	0	0	18	21	3	7	3	7
64	3502600	892	943	0	0	0	0	18	21	3	7	3	7
65	3671600	923	978	0	0	0	0	18	22	3	7	3	7
66	3845840	954	1013	0	0	0	0	19	22	3	7	3	7
67	4025400	985	1048	0	0	0	0	19	22	3	7	3	7
68	4210360	1016	1083	0	0	0	0	19	23	3	7	3	7
69	4400800	1047	1118	0	0	0	0	20	23	3	7	3	7
70	4596800	1078	1153	0	0	0	0	20	23	3	8	3	8
71	4798440	1117	1197	0	0	0	0	20	24	3	8	3	8
72	5005800	1156	1241	0	0	0	0	21	24	4	8	4	8
73	5218960	1195	1285	0	0	0	0	21	24	4	8	4	8
74	5438000	1234	1329	0	0	0	0	21	25	4	8	4	8
75	5663000	1273	1373	0	0	0	0	22	25	4	8	4	8
76	5894040	1312	1417	0	0	0	0	22	25	4	8	4	8
77	6131200	1351	1461	0	0	0	0	22	26	4	8	4	8
78	6374560	1390	1505	0	0	0	0	23	26	4	8	4	8
79	6624200	1429	1549	0	0	0	0	23	26	4	8	4	8
80	6880200	1468	1593	0	0	0	0	23	27	4	9	4	9
81	7142640	1516	1647	0	0	0	0	24	27	4	9	4	9
82	7411600	1564	1701	0	0	0	0	24	27	4	9	4	9
83	7687160	1612	1755	0	0	0	0	24	28	4	9	4	9
84	7969400	1660	1809	0	0	0	0	25	28	4	9	4	9
85	8258400	1708	1863	0	0	0	0	25	28	4	9	4	9
86	8554240	1756	1917	0	0	0	0	25	29	4	9	4	9
87	8857000	1804	1971	0	0	0	0	26	29	4	9	4	9
88	9166760	1852	2025	0	0	0	0	26	29	4	9	4	9
89	9483600	1900	2079	0	0	0	0	26	30	4	9	4	9
90	9807600	1948	2133	0	0	0	0	27	30	5	10	5	10
91	10138840	2006	2198	0	0	0	0	27	30	5	10	5	10
92	10477400	2064	2263	0	0	0	0	27	31	5	10	5	10
93	10823360	2122	2328	0	0	0	0	27	31	5	10	5	10
94	11176800	2180	2393	0	0	0	0	27	31	5	10	5	10
95	11537800	2238	2458	0	0	0	0	27	32	5	10	5	10
96	11906440	2296	2523	0	0	0	0	28	32	5	10	5	10
97	12282800	2354	2588	0	0	0	0	28	32	5	10	5	10
98	12666960	2412	2653	0	0	0	0	28	33	5	10	5	10
99	13059000	2470	2718	0	0	0	0	29	33	5	10	5	10
100	13459000	2528	2783	0	0	0	0	29	33	5	11	5	11
101	13867040	2597	2860	0	0	0	0	29	34	5	11	5	11
102	14283200	2666	2937	0	0	0	0	30	34	5	11	5	11
103	14707560	2735	3014	0	0	0	0	30	34	5	11	5	11
104	15140200	2804	3091	0	0	0	0	30	35	5	11	5	11
105	15581200	2873	3168	0	0	0	0	31	35	5	11	5	11
106	16030640	2942	3245	0	0	0	0	31	35	5	11	5	11
107	16488600	3011	3322	0	0	0	0	31	36	5	11	5	11
108	16955160	3080	3399	0	0	0	0	32	36	6	11	6	11
109	17430400	3149	3476	0	0	0	0	32	36	6	11	6	11
110	17914400	3218	3553	0	0	0	0	32	37	6	12	6	12
111	18407240	3299	3643	0	0	0	0	33	37	6	12	6	12
112	18909000	3380	3733	0	0	0	0	33	37	6	12	6	12
113	19419760	3461	3823	0	0	0	0	33	38	6	12	6	12
114	19939600	3542	3913	0	0	0	0	34	38	6	12	6	12
115	20468600	3623	4003	0	0	0	0	34	38	6	12	6	12
116	21006840	3704	4093	0	0	0	0	34	39	6	12	6	12
117	21554400	3785	4183	0	0	0	0	35	39	6	12	6	12
118	22111360	3866	4273	0	0	0	0	35	39	6	12	6	12
119	22677800	3947	4363	0	0	0	0	35	40	6	12	6	12
120	23253800	4028	4453	0	0	0	0	36	40	6	13	6	13
121	23839440	4122	4557	0	0	0	0	36	40	6	13	6	13
122	24434800	4216	4661	0	0	0	0	36	41	6	13	6	13
123	25039960	4310	4765	0	0	0	0	36	41	6	13	6	13
124	25655000	4404	4869	0	0	0	0	36	41	6	13	6	13
125	26280000	4498	4973	0	0	0	0	36	42	6	13	6	13
126	26915040	4592	5077	0	0	0	0	37	42	7	13	7	13
127	27560200	4686	5181	0	0	0	0	37	42	7	13	7	13
128	28215560	4780	5285	0	0	0	0	37	43	7	13	7	13
129	28881200	4874	5389	0	0	0	0	38	43	7	13	7	13
130	29557200	4968	5493	0	0	0	0	38	43	7	14	7	14
131	30243640	5076	5612	0	0	0	0	38	44	7	14	7	14
132	30940600	5184	5731	0	0	0	0	39	44	7	14	7	14
133	31648160	5292	5850	0	0	0	0	39	44	7	14	7	14
134	32366400	5400	5969	0	0	0	0	39	45	7	14	7	14
135	33095400	5508	6088	0	0	0	0	40	45	7	14	7	14
136	33835240	5616	6207	0	0	0	0	40	45	7	14	7	14
137	34586000	5724	6326	0	0	0	0	40	46	7	14	7	14
138	35347760	5832	6445	0	0	0	0	41	46	7	14	7	14
139	36120600	5940	6564	0	0	0	0	41	46	7	14	7	14
140	36904600	6048	6683	0	0	0	0	41	47	7	15	7	15
141	37699840	6171	6818	0	0	0	0	42	47	7	15	7	15
142	38506400	6294	6953	0	0	0	0	42	47	7	15	7	15
143	39324360	6417	7088	0	0	0	0	42	48	7	15	7	15
144	40153800	6540	7223	0	0	0	0	43	48	8	15	8	15
145	40994800	6663	7358	0	0	0	0	43	48	8	15	8	15
146	41847440	6786	7493	0	0	0	0	43	49	8	15	8	15
147	42711800	6909	7628	0	0	0	0	44	49	8	15	8	15
148	43587960	7032	7763	0	0	0	0	44	49	8	15	8	15
149	44476000	7155	7898	0	0	0	0	44	50	8	15	8	15
150	45376000	7278	8033	0	0	0	0	45	50	8	16	8	16
151	46288040	7417	8185	0	0	0	0	45	50	8	16	8	16
152	47212200	7556	8337	0	0	0	0	45	51	8	16	8	16
153	48148560	7695	8489	0	0	0	0	45	51	8	16	8	16
154	49097200	7834	8641	0	0	0	0	45	51	8	16	8	16
155	50058200	7973	8793	0	0	0	0	45	52	8	16	8	16
156	51031640	8112	8945	0	0	0	0	46	52	8	16	8	16
157	52017600	8251	9097	0	0	0	0	46	52	8	16	8	16
158	53016160	8390	9249	0	0	0	0	46	53	8	16	8	16
159	54027400	8529	9401	0	0	0	0	47	53	8	16	8	16
160	55051400	8668	9553	0	0	0	0	47	53	8	17	8	17
161	56088240	8824	9723	0	0	0	0	47	54	8	17	8	17
162	57138000	8980	9893	0	0	0	0	48	54	9	17	9	17
163	58200760	9136	10063	0	0	0	0	48	54	9	17	9	17
164	59276600	9292	10233	0	0	0	0	48	55	9	17	9	17
165	60365600	9448	10403	0	0	0	0	49	55	9	17	9	17
166	61467840	9604	10573	0	0	0	0	49	55	9	17	9	17
167	62583400	9760	10743	0	0	0	0	49	56	9	17	9	17
168	63712360	9916	10913	0	0	0	0	50	56	9	17	9	17
169	64854800	10072	11083	0	0	0	0	50	56	9	17	9	17
170	66010800	10228	11253	0	0	0	0	50	57	9	18	9	18
171	67180440	10402	11442	0	0	0	0	51	57	9	18	9	18
172	68363800	10576	11631	0	0	0	0	51	57	9	18	9	18
173	69560960	10750	11820	0	0	0	0	51	58	9	18	9	18
174	70772000	10924	12009	0	0	0	0	52	58	9	18	9	18
175	71997000	11098	12198	0	0	0	0	52	58	9	18	9	18
176	73236040	11272	12387	0	0	0	0	52	59	9	18	9	18
177	74489200	11446	12576	0	0	0	0	53	59	9	18	9	18
178	75756560	11620	12765	0	0	0	0	53	59	9	18	9	18
179	77038200	11794	12954	0	0	0	0	53	60	9	18	9	18
180	78334200	11968	13143	0	0	0	0	54	60	10	19	10	19
181	79644640	12161	13352	0	0	0	0	54	60	10	19	10	19
182	80969600	12354	13561	0	0	0	0	54	61	10	19	10	19
183	82309160	12547	13770	0	0	0	0	54	61	10	19	10	19
184	83663400	12740	13979	0	0	0	0	54	61	10	19	10	19
185	85032400	12933	14188	0	0	0	0	54	62	10	19	10	19
186	86416240	13126	14397	0	0	0	0	55	62	10	19	10	19
187	87815000	13319	14606	0	0	0	0	55	62	10	19	10	19
188	89228760	13512	14815	0	0	0	0	55	63	10	19	10	19
189	90657600	13705	15024	0	0	0	0	56	63	10	19	10	19
190	92101600	13898	15233	0	0	0	0	56	63	10	20	10	20
191	93560840	14111	15463	0	0	0	0	56	64	10	20	10	20
192	95035400	14324	15693	0	0	0	0	57	64	10	20	10	20
193	96525360	14537	15923	0	0	0	0	57	64	10	20	10	20
194	98030800	14750	16153	0	0	0	0	57	65	10	20	10	20
195	99551800	14963	16383	0	0	0	0	58	65	10	20	10	20
196	101088440	15176	16613	0	0	0	0	58	65	10	20	10	20
197	102640800	15389	16843	0	0	0	0	58	66	10	20	10	20
198	104208960	15602	17073	0	0	0	0	59	66	11	20	11	20
199	105793000	15815	17303	0	0	0	0	59	66	11	20	11	20
200	107393000	16028	17533	0	0	0	0	59	67	11	21	11	21
201	109009040	16111	17563	0	0	0	0	60	67	11	21	11	21
202	110641200	16194	17593	0	0	0	0	60	67	11	21	11	21
203	112289560	16277	17623	0	0	0	0	60	68	11	21	11	21
204	113954200	16360	17653	0	0	0	0	61	68	11	21	11	21
205	115635200	16443	17683	0	0	0	0	61	68	11	21	11	21
206	117332640	16526	17713	0	0	0	0	61	69	11	21	11	21
207	119046600	16609	17743	0	0	0	0	62	69	11	21	11	21
208	120777160	16692	17773	0	0	0	0	62	69	11	21	11	21
209	122524400	16775	17803	0	0	0	0	62	70	11	21	11	21
210	124288400	16858	17833	0	0	0	0	63	70	11	22	11	22
211	126069240	16941	17863	0	0	0	0	63	70	11	22	11	22
212	127867000	17024	17893	0	0	0	0	63	71	11	22	11	22
213	129681760	17107	17923	0	0	0	0	63	71	11	22	11	22
214	131513600	17190	17953	0	0	0	0	63	71	11	22	11	22
215	133362600	17273	17983	0	0	0	0	63	72	11	22	11	22
216	135228840	17356	18013	0	0	0	0	64	72	12	22	12	22
217	137112400	17439	18043	0	0	0	0	64	72	12	22	12	22
218	139013360	17522	18073	0	0	0	0	64	73	12	22	12	22
219	140931800	17605	18103	0	0	0	0	65	73	12	22	12	22
220	142867800	17688	18133	0	0	0	0	65	73	12	23	12	23
221	144821440	17771	18163	0	0	0	0	65	74	12	23	12	23
222	146792800	17854	18193	0	0	0	0	66	74	12	23	12	23
223	148781960	17937	18223	0	0	0	0	66	74	12	23	12	23
224	150789000	18020	18253	0	0	0	0	66	75	12	23	12	23
225	152814000	18103	18283	0	0	0	0	67	75	12	23	12	23
226	154857040	18186	18313	0	0	0	0	67	75	12	23	12	23
227	156918200	18269	18343	0	0	0	0	67	76	12	23	12	23
228	158997560	18352	18373	0	0	0	0	68	76	12	23	12	23
229	161095200	18435	18403	0	0	0	0	68	76	12	23	12	23
230	163211200	18518	18433	0	0	0	0	68	77	12	24	12	24
231	165345640	18601	18463	0	0	0	0	69	77	12	24	12	24
232	167498600	18684	18493	0	0	0	0	69	77	12	24	12	24
233	169670160	18767	18523	0	0	0	0	69	78	12	24	12	24
234	171860400	18850	18553	0	0	0	0	70	78	13	24	13	24
235	174069400	18933	18583	0	0	0	0	70	78	13	24	13	24
236	176297240	19016	18613	0	0	0	0	70	79	13	24	13	24
237	178544000	19099	18643	0	0	0	0	71	79	13	24	13	24
238	180809760	19182	18673	0	0	0	0	71	79	13	24	13	24
239	183094600	19265	18703	0	0	0	0	71	80	13	24	13	24
240	185398600	19348	18733	0	0	0	0	72	80	13	25	13	25
241	187721840	19431	18763	0	0	0	0	72	80	13	25	13	25
242	190064400	19514	18793	0	0	0	0	72	81	13	25	13	25
243	192426360	19597	18823	0	0	0	0	72	81	13	25	13	25
244	194807800	19680	18853	0	0	0	0	72	81	13	25	13	25
245	197208800	19763	18883	0	0	0	0	72	82	13	25	13	25
246	199629440	19846	18913	0	0	0	0	73	82	13	25	13	25
247	202069800	19929	18943	0	0	0	0	73	82	13	25	13	25
248	204529960	20012	18973	0	0	0	0	73	83	13	25	13	25
249	207010000	20095	19003	0	0	0	0	74	83	13	25	13	25
250	209510000	20178	19033	0	0	0	0	74	83	13	26	13	26
251	212030040	20261	19063	0	0	0	0	74	84	13	26	13	26
252	214570200	20344	19093	0	0	0	0	75	84	14	26	14	26
253	217130560	20427	19123	0	0	0	0	75	84	14	26	14	26
254	219711200	20510	19153	0	0	0	0	75	85	14	26	14	26
255	222312200	20593	19183	0	0	0	0	76	85	14	26	14	26
256	224933640	20676	19213	0	0	0	0	76	85	14	26	14	26
257	227575600	20759	19243	0	0	0	0	76	86	14	26	14	26
258	230238160	20842	19273	0	0	0	0	77	86	14	26	14	26
259	232921400	20925	19303	0	0	0	0	77	86	14	26	14	26
260	235625400	21008	19333	0	0	0	0	77	87	14	27	14	27
261	238350240	21091	19363	0	0	0	0	78	87	14	27	14	27
262	241096000	21174	19393	0	0	0	0	78	87	14	27	14	27
263	243862760	21257	19423	0	0	0	0	78	88	14	27	14	27
264	246650600	21340	19453	0	0	0	0	79	88	14	27	14	27
265	249459600	21423	19483	0	0	0	0	79	88	14	27	14	27
266	252289840	21506	19513	0	0	0	0	79	89	14	27	14	27
267	255141400	21589	19543	0	0	0	0	80	89	14	27	14	27
268	258014360	21672	19573	0	0	0	0	80	89	14	27	14	27
269	260908800	21755	19603	0	0	0	0	80	90	14	27	14	27
270	263824800	21838	19633	0	0	0	0	81	90	15	28	15	28
271	266762440	21921	19663	0	0	0	0	81	90	15	28	15	28
272	269721800	22004	19693	0	0	0	0	81	91	15	28	15	28
273	272702960	22087	19723	0	0	0	0	81	91	15	28	15	28
274	275706000	22170	19753	0	0	0	0	81	91	15	28	15	28
275	278731000	22253	19783	0	0	0	0	81	92	15	28	15	28
276	281778040	22336	19813	0	0	0	0	82	92	15	28	15	28
277	284847200	22419	19843	0	0	0	0	82	92	15	28	15	28
278	287938560	22502	19873	0	0	0	0	82	93	15	28	15	28
279	291052200	22585	19903	0	0	0	0	83	93	15	28	15	28
280	294188200	22668	19933	0	0	0	0	83	93	15	29	15	29
281	297346640	22751	19963	0	0	0	0	83	94	15	29	15	29
282	300527600	22834	19993	0	0	0	0	84	94	15	29	15	29
283	303731160	22917	20023	0	0	0	0	84	94	15	29	15	29
284	306957400	23000	20053	0	0	0	0	84	95	15	29	15	29
285	310206400	23083	20083	0	0	0	0	85	95	15	29	15	29
286	313478240	23166	20113	0	0	0	0	85	95	15	29	15	29
287	316773000	23249	20143	0	0	0	0	85	96	15	29	15	29
288	320090760	23332	20173	0	0	0	0	86	96	16	29	16	29
289	323431600	23415	20203	0	0	0	0	86	96	16	29	16	29
290	326795600	23498	20233	0	0	0	0	86	97	16	30	16	30
291	330182840	23581	20263	0	0	0	0	87	97	16	30	16	30
292	333593400	23664	20293	0	0	0	0	87	97	16	30	16	30
293	337027360	23747	20323	0	0	0	0	87	98	16	30	16	30
294	340484800	23830	20353	0	0	0	0	88	98	16	30	16	30
295	343965800	23913	20383	0	0	0	0	88	98	16	30	16	30
296	347470440	23996	20413	0	0	0	0	88	99	16	30	16	30
297	350998800	24079	20443	0	0	0	0	89	99	16	30	16	30
298	354550960	24162	20473	0	0	0	0	89	99	16	30	16	30
299	358127000	24245	20503	0	0	0	0	89	100	16	30	16	30
300	361727000	24328	20533	0	0	0	0	90	100	16	31	16	31
301	365351040	24411	20563	0	0	0	0	90	100	16	31	16	31
302	368999200	24494	20593	0	0	0	0	90	101	16	31	16	31
303	372671560	24577	20623	0	0	0	0	90	101	16	31	16	31
304	376368200	24660	20653	0	0	0	0	90	101	16	31	16	31
305	380089200	24743	20683	0	0	0	0	90	102	16	31	16	31
306	383834640	24826	20713	0	0	0	0	91	102	17	31	17	31
307	387604600	24909	20743	0	0	0	0	91	102	17	31	17	31
308	391399160	24992	20773	0	0	0	0	91	103	17	31	17	31
309	395218400	25075	20803	0	0	0	0	92	103	17	31	17	31
310	399062400	25158	20833	0	0	0	0	92	103	17	32	17	32
311	402931240	25241	20863	0	0	0	0	92	104	17	32	17	32
312	406825000	25324	20893	0	0	0	0	93	104	17	32	17	32
313	410743760	25407	20923	0	0	0	0	93	104	17	32	17	32
314	414687600	25490	20953	0	0	0	0	93	105	17	32	17	32
315	418656600	25573	20983	0	0	0	0	94	105	17	32	17	32
316	422650840	25656	21013	0	0	0	0	94	105	17	32	17	32
317	426670400	25739	21043	0	0	0	0	94	106	17	32	17	32
318	430715360	25822	21073	0	0	0	0	95	106	17	32	17	32
319	434785800	25905	21103	0	0	0	0	95	106	17	32	17	32
320	438881800	25988	21133	0	0	0	0	95	107	17	33	17	33
321	443003440	26071	21163	0	0	0	0	96	107	17	33	17	33
322	447150800	26154	21193	0	0	0	0	96	107	17	33	17	33
323	451323960	26237	21223	0	0	0	0	96	108	17	33	17	33
324	455523000	26320	21253	0	0	0	0	97	108	18	33	18	33
325	459748000	26403	21283	0	0	0	0	97	108	18	33	18	33
326	463999040	26486	21313	0	0	0	0	97	109	18	33	18	33
327	468276200	26569	21343	0	0	0	0	98	109	18	33	18	33
328	472579560	26652	21373	0	0	0	0	98	109	18	33	18	33
329	476909200	26735	21403	0	0	0	0	98	110	18	33	18	33
330	481265200	26818	21433	0	0	0	0	99	110	18	34	18	34
331	485647640	26901	21463	0	0	0	0	99	110	18	34	18	34
332	490056600	26984	21493	0	0	0	0	99	111	18	34	18	34
333	494492160	27067	21523	0	0	0	0	99	111	18	34	18	34
334	498954400	27150	21553	0	0	0	0	99	111	18	34	18	34
335	503443400	27233	21583	0	0	0	0	99	112	18	34	18	34
336	507959240	27316	21613	0	0	0	0	100	112	18	34	18	34
337	512502000	27399	21643	0	0	0	0	100	112	18	34	18	34
338	517071760	27482	21673	0	0	0	0	100	113	18	34	18	34
339	521668600	27565	21703	0	0	0	0	101	113	18	34	18	34
340	526292600	27648	21733	0	0	0	0	101	113	18	35	18	35
341	530943840	27731	21763	0	0	0	0	101	114	18	35	18	35
342	535622400	27814	21793	0	0	0	0	102	114	19	35	19	35
343	540328360	27897	21823	0	0	0	0	102	114	19	35	19	35
344	545061800	27980	21853	0	0	0	0	102	115	19	35	19	35
345	549822800	28063	21883	0	0	0	0	103	115	19	35	19	35
346	554611440	28146	21913	0	0	0	0	103	115	19	35	19	35
347	559427800	28229	21943	0	0	0	0	103	116	19	35	19	35
348	564271960	28312	21973	0	0	0	0	104	116	19	35	19	35
