ID	名称	等级	经验	血	回血	蓝	回蓝	气	攻	魔	道	物防	魔防	暴击概率	暴击伤害	穿透	攻击速度
10001	鸡	1	5	5	1	10	1	10	1	0	0	0	0	0	100	0	0.5
10002	鹿	1	15	15	1	10	1	10	1	0	0	0	0	0	100	0	0.5
10003	羊	1	20	20	1	10	1	10	1	0	0	0	0	0	100	0	0.5
10101	稻草人	1	12	15	1	10	1	10	2	0	0	0	0	0	100	0	0.5
10102	多钩猫	1	17	22	1	10	1	10	2	0	0	0	0	0	100	0	0.5
10103	钉钯猫	1	18	23	1	10	1	10	2	0	0	0	0	0	100	0	0.5
10104	蛤蟆	1	15	20	1	10	1	10	2	0	0	0	0	0	100	0	0.5
10105	食人花	1	28	28	1	10	1	10	2	0	0	0	0	0	100	0	0.5
10106	森林雪人	1	30	36	1	10	1	10	2	0	0	0	0	0	100	0	0.5
10107	半兽人	1	25	30	1	10	1	10	2	0	0	0	0	0	100	0	0.5
10108	半兽战士	1	50	100	1	10	1	10	3	0	0	0	0	0	100	0	0.5
10109	蝙蝠	1	25	25	1	10	1	10	3	0	0	0	0	0	100	0	0.5
10110	蝎子	1	45	45	1	10	1	10	3	0	0	0	0	0	100	0	0.5
10111	洞蛆	1	60	65	1	10	1	10	3	0	0	0	0	0	100	0	0.5
10112	骷髅	1	85	90	1	10	1	10	4	0	0	0	0	0	100	0	0.5
10113	掷斧骷髅	1	90	100	1	10	1	10	4	0	0	0	0	0	100	0	0.5
10114	骷髅战士	1	95	105	1	10	1	10	4	0	0	0	0	0	100	0	0.5
10115	骷髅战将	1	100	110	1	10	1	10	4	0	0	0	0	0	100	0	0.5
10116	爬地僵尸	1	160	155	1	10	1	10	5	0	0	0	0	0	100	0	0.5
10117	行走僵尸 	1	160	155	1	10	1	10	5	0	0	0	0	0	100	0	0.5
10118	残废僵尸	1	160	155	1	10	1	10	5	0	0	0	0	0	100	0	0.5
10119	黄袍僵尸 	1	160	155	1	10	1	10	5	0	0	0	0	0	100	0	0.5
10120	电僵尸 	1	160	155	1	10	1	10	5	0	0	0	0	0	100	0	0.5
10121	粪虫	1	180	155	1	10	1	10	10	0	0	0	0	0	100	0	0.5
10122	暗黑战士	1	200	165	1	10	1	10	10	0	0	0	0	0	100	0	0.5
10123	沃玛战士	1	260	265	1	10	1	10	10	0	0	0	0	0	100	0	0.5
10124	沃玛勇士	1	280	285	1	10	1	10	10	0	0	0	0	0	100	0	0.5
10125	沃玛战将	1	280	285	1	10	1	10	10	0	0	0	0	0	100	0	0.5
10126	火焰沃玛	1	290	300	1	10	1	10	10	0	0	0	0	0	100	0	0.5
10201	毒蜘蛛	1	42	42	1	10	1	10	5	0	0	0	0	0	100	0	0.5
10202	红蛇	1	50	50	1	10	1	10	5	0	0	0	0	0	100	0	0.5
10203	虎蛇	1	53	53	1	10	1	10	5	0	0	0	0	0	100	0	0.5
10204	盔甲虫	1	37	50	1	10	1	10	5	0	0	0	0	0	100	0	0.5
10205	狼	1	35	48	1	10	1	10	5	0	0	0	0	0	100	0	0.5
10206	威思而小虫	1	50	50	1	10	1	10	5	0	0	0	0	0	100	0	0.5
10207	猎鹰	1	38	38	1	10	1	10	5	0	0	0	0	0	100	0	0.5
10208	多角虫	1	42	50	1	10	1	10	5	0	0	0	0	0	100	0	0.5
10209	蜈蚣	1	230	230	1	10	1	10	20	0	0	0	0	0	100	0	0.5
10210	巨型蠕虫	1	230	200	1	10	1	10	20	0	0	0	0	0	100	0	0.5
10211	跳跳蜂	1	210	200	1	10	1	10	20	0	0	0	0	0	100	0	0.5
10212	黑色恶蛆	1	180	230	1	10	1	10	20	0	0	0	0	0	100	0	0.5
10213	钳虫	1	250	270	1	10	1	10	20	0	0	0	0	0	100	0	0.5
10214	红野猪	1	320	330	1	10	1	10	30	0	0	0	0	0	100	0	0.5
10215	黑野猪	1	380	310	1	10	1	10	30	0	0	0	0	0	100	0	0.5
10216	蝎蛇	1	360	330	1	10	1	10	30	0	0	0	0	0	100	0	0.5
10217	角蝇	1	300	200	1	10	1	10	30	0	0	0	0	0	100	0	0.5
10218	楔蛾	1	350	220	1	10	1	10	30	0	0	0	0	0	100	0	0.5
10219	大老鼠	1	330	365	1	10	1	10	40	0	0	0	0	0	100	0	0.5
10220	祖玛弓箭手	1	370	385	1	10	1	10	50	0	0	0	0	0	100	0	0.5
10221	祖玛雕像	1	450	495	1	10	1	10	50	0	0	0	0	0	100	0	0.5
10222	祖玛卫士	1	480	495	1	10	1	10	50	0	0	0	0	0	100	0	0.5
