ID	Name	icon	Maxlv	cd1	cd2	cd3	cd4	type	no	descr
220000	攻击	1	1	1	1	1	1	1	1	双手举起大刀，对准敌人，眯着眼睛，砍下去吧。
220001	火球术	2	3	1	1	1	1	1	2	召唤一个小火球灼烧目标
220002	治愈术	3	3	5	5	5	5	5	1	道尊运用的自然之力，为目标恢复生命力
220003	基本剑术	4	3	1	1	1	1	1	3	战士入门剑法
220004	精神力战法	5	3	1	1	1	1	1	4	道尊对自然的冥想，提升攻击力
220005	大火球	6	3	1	1	1	1	1	5	将火球凝聚并压缩到高速旋转，对目标进行剧烈伤害
220006	攻杀剑术	7	3	1	1	1	1	1	6	基本剑术大成之后可修攻杀，杀伤力更强
220007	施毒术	8	3	7	6	5	4	3	101	debuff，扣血
220008	抗拒火环	9	3	1	1	1	1	0	0	作者才尽了…
220009	地狱寒冰	10	3	6	6	5	4	6	201	控制，冰冻，单体
220010	雷电术	11	3	1	1	1	1	1	7	召唤天雷审判目标
220011	疾光电影	12	3	2	2	2	2	1	8	凝聚自身魔力，打击前方目标
220012	灵魂火符	13	3	1	1	1	1	1	9	召唤灵符对目标进行打击，随道术提升而提升伤害
220013	幽灵盾	14	3	6	5	4	4	2	1	buff,魔防
220014	神圣战甲	15	3	6	5	4	4	2	2	buff,物防
220015	刺杀剑术	16	3	3	3	3	3	1	10	观枪术而悟，对敌人造成深层伤害
220016	困魔咒	17	3	7	6	5	4	6	202	控制，定身，多目标
220017	亡灵召唤	18	3	10	10	10	10	4	1	召唤亡灵界的骷髅辅助战斗
220018	隐身术	19	3	3	3	3	3	7	0	幻术，隐，自身
220019	集体隐身术	20	3	3	3	3	3	7	0	幻术，隐，伙伴，多目标
220020	诱惑之光	21	3	7	6	5	4	6	203	控制，混乱，单体
220021	瞬息移动	22	3	2	2	2	2	0	0	作者才尽了…
220022	附体之炎	23	3	7	7	6	5	3	102	debuff，扣血
220023	爆裂火焰	24	3	2	2	2	2	1	11	召唤火焰燃烧目标周围空间，对目标产生多次伤害
220024	地狱雷光	25	3	4	4	4	4	1	12	召唤雷云风暴，对目标进行多次审判
220025	半月弯刀	26	3	2	2	2	2	1	13	刀光如水幕，对敌人造成多次伤害
220026	烈火剑法	27	3	5	5	5	5	1	14	凝聚全身怒气发出攻击，造成巨大伤害
220027	野蛮冲撞	28	3	10	9	8	7	6	204	控制，麻痹，单体
220028	群体施毒术	29	3	9	8	7	7	3	103	群体debuff，扣血
220029	群体治疗术	30	3	5	5	5	5	5	2	呼唤水木精灵，使一定范围内所有人加速恢复生命力
220030	召唤神兽	31	3	10	10	10	10	4	2	召唤天界神兽辅助战斗
220031	魔法盾	32	3	8	7	5	5	2	3	buff,减伤
220032	圣言术	0	3	4	4	4	4	0	0	作者才尽了…
220033	冰咆哮	34	3	4	4	4	4	1	15	召唤强力的冰雪风暴对目标造成剧烈伤害
220034	战神守护	35	3	8	7	6	5	2	4	buff,物防
220035	逐日剑法	36	3	5	5	5	5	1	16	如太阳般地炙热剑芒，见者无不沉迷
220036	开天斩	37	3	8	8	8	8	1	17	开天辟地
220037	圆月莲华	38	3	3	3	3	3	1	18	刀光如月华般，无孔不入。
220038	幽冥火咒	39	3	2	2	2	2	1	19	凝聚附带幽冥力量的符咒，对目标造成深层伤害
220039	狂雷闪	40	3	2	2	2	2	1	20	召唤狂暴的雷电，对目标进行毁灭打击。
220040	怒炎	41	3	8	8	8	8	1	21	以心印之，将情绪封入火焰，焚化天地
220041	召唤月灵	42	4	10	10	10	10	4	3	召唤元素界的月夜之灵辅助战斗
220042	召唤白虎	43	4	10	10	10	10	4	4	召唤四方守护之白虎投影分身辅助战斗
220043	狂暴	44	3	6	5	4	3	2	5	buff,加速
220044	嗜血	45	3	5	5	4	3	2	6	buff,伤害加深
220045	狮子吼	46	3	10	9	8	7	6	205	控制，恐惧(放弃动作)，全体
220046	蚀甲	47	3	7	6	5	4	3	104	debuff,减防
220101	撕咬	0	3	1	1	1	1	1	101	怪物技能
220102	魔力球	0	3	1	1	1	1	1	102	怪物技能
